Rank,Title,Views,Date,URL
20,10年职业交易员｜如何进行“加仓”｜如何理解“加仓”,35897,5y ago,https://www.youtube.com/watch?v=Ew5n4-uzpGs
21,金融交易中，如何設置有效的止損點位,34419,6y ago,https://www.youtube.com/watch?v=WCtAg6xDQQI
22,13年职业交易员：裸K交易教程｜大众的3个理解偏差｜顺势逆势&趋势判断&趋势转折｜价格行为交易｜Price Action Understanding Bias,34019,2y ago,https://www.youtube.com/watch?v=-yfqq_S86kY
23,11年职业交易员总结：止盈出场的设置方法,32989,4y ago,https://www.youtube.com/watch?v=5IrpEIc9jnw
24,13年职业交易员：交易心理教程｜人性贪念的背后｜交易贪念的解决方法｜交易心态｜More Than Trading Psychology,32373,2y ago,https://www.youtube.com/watch?v=TfrYA-cWF-k
25,长篇硬核｜实现交易长期盈利，必须搞定这件事,30980,9mo ago,https://www.youtube.com/watch?v=azKUBUvmUYA
26,小週期看多、大週期看空，該怎麼辦？如何解決跨週期分析的矛盾,30072,6y ago,https://www.youtube.com/watch?v=hya3PqpLkuU
27,90%交易者忽略的：专业交易者身上的明显特征,29885,1y ago,https://www.youtube.com/watch?v=FhARasNcDmw
28,解决交易问题· 交易中的三大难题· 交易系统· 交易习惯· 交易心态,28290,5y ago,https://www.youtube.com/watch?v=iiNQleOvqBk
29,没有交易执行力，怎么办？按这种方法做,28045,3y ago,https://www.youtube.com/watch?v=blkaSbqtzJI
30,交易世界只奖励“专才”｜若你在交易中，越学越多，越乱，可观看本视频,27415,4y ago,https://www.youtube.com/watch?v=NzPAYKwQpJk
31,长篇硬核交易内容｜如何像专业交易者一样思考问题？｜专业交易思维养成01,26966,1y ago,https://www.youtube.com/watch?v=lOhyM3rCL3w
32,交易者都要玩的“概率游戏”｜如何解决执行交易系统中的瓶颈,26784,5y ago,https://www.youtube.com/watch?v=89mWyZClqkY
33,如何找到适合自己的交易仓位，真正赚到钱？,26133,5y ago,https://www.youtube.com/watch?v=00oL2wos3b0
34,怎样规避假突破｜弱势动能的识别训练,25831,4y ago,https://www.youtube.com/watch?v=SBkM4Ns1LaE
35,我的趋势交易原则01,25791,1y ago,https://www.youtube.com/watch?v=p-E26g1UuxU
36,如何建立对自己交易系统的信任,25405,4y ago,https://www.youtube.com/watch?v=AYV_4zz-F48
37,如果教我的孩子做交易，我一定先不教技术分析，而是教这3个方面，为什么？,25331,5mo ago,https://www.youtube.com/watch?v=ahLF1SZrutw
38,外匯交易技術分析|黃金分割線的用法 Fibonacci Retracement,25086,6y ago,https://www.youtube.com/watch?v=A-H5T4_KUvo
39,11年职业交易员：跟单靠谱么？是否可以持续赚钱？,24792,4y ago,https://www.youtube.com/watch?v=D8ytLcV0P3Y
40,11年专业交易员：趋势交易的盈利模式,24595,5y ago,https://www.youtube.com/watch?v=q7eFcHwDWQI
41,10年交易经验分享：注意反转形态的“陷阱”,24523,5y ago,https://www.youtube.com/watch?v=DcQcZ-gOSlk
42,11年职业交易员：梳理价格行为交易的核心重点,24131,4y ago,https://www.youtube.com/watch?v=tdaYUJ5Mh-U
43,6个步骤，从交易小白进阶到交易高手,24040,5y ago,https://www.youtube.com/watch?v=-MIQCLoTVQM
44,牛市来了么？还可以持续么？如何应对？,24004,1y ago,https://www.youtube.com/watch?v=r41gshVBdVg
45,期貨外匯交易指南|別輕信什麼「放量上漲」，關於交易量，你必須知道的兩個方面,23701,6y ago,https://www.youtube.com/watch?v=q_zBGPj1NRY
46,10年交易员· 我用的图表分析网站·Tradingview使用技巧,23375,5y ago,https://www.youtube.com/watch?v=ddZcp0q3YNw
47,如何达到稳定盈利？｜大众误区和实现方式,23186,3y ago,https://www.youtube.com/watch?v=apJUea8jH8Y
48,13年跨市场交易员：盘感的作用，沉浸式盘感训练｜价格行为交易,23177,2y ago,https://www.youtube.com/watch?v=QqbiTKsW9R8
49,價格行為交易教學· 趨勢完結信號：動能衰減 Exhaustion bar,22479,5y ago,https://www.youtube.com/watch?v=zfyjAm_9RTg
50,進場方式·左側交易VS右側交易· 專業交易者視角,22263,5y ago,https://www.youtube.com/watch?v=_AlaWtJ9QPE
51,凱利公式是什麼？交易獲利的核武器，資金管理的核心基石【外匯交易指南】,21746,6y ago,https://www.youtube.com/watch?v=hA_NwEvDdoY
52,价格行为交易· 如何识别市场动能,21344,5y ago,https://www.youtube.com/watch?v=VsonLk2wHzo
53,11年职业交易员：4个K线使用的关键要点,21265,4y ago,https://www.youtube.com/watch?v=7kOnRFjl28A
54,外匯交易復盤|如何在3天時間，中線交易賺到3000美金,21010,6y ago,https://www.youtube.com/watch?v=1-s2Q5y97u4
55,10年交易经验分享· 交易心态管理· 2个对交易的正确认识,20932,5y ago,https://www.youtube.com/watch?v=HRyBvMmom9o
56,交易系统搭建：市场迹象与开仓条件,20825,4y ago,https://www.youtube.com/watch?v=YTLeuRzHUI8
57,11年職業交易員：交易中，該如何持倉？,20750,5y ago,https://www.youtube.com/watch?v=ESvTO-R6yhA
58,全面详实解读“负油价”，原油期货跌为负数，到底是怎么回事？,20680,5y ago,https://www.youtube.com/watch?v=ovdlsW1S-C4
59,不设置止损，就等于在等待爆仓,20680,5y ago,https://www.youtube.com/watch?v=mRQvmjDSN5w
60,交易系统建构的第一步：确定自己的交易风格,20578,5y ago,https://www.youtube.com/watch?v=YG9I5YSDFvs
61,全面提升｜钻潜交易内训介绍｜钻潜交易系统2.0版本：提前介入A段,20118,2y ago,https://www.youtube.com/watch?v=O7UhtHroe60
62,交易启示录：5w赚到180w，然后归零｜真实交易者故事,20021,1y ago,https://www.youtube.com/watch?v=imifCHNrd-8
63,交易学社｜7种课程和训练体系,19993,5y ago,https://www.youtube.com/watch?v=COP1eEAqdpk
64,15年交易经验：交易大忌｜01,19832,9mo ago,https://www.youtube.com/watch?v=rFL8IPS1ujo
65,交易胜率和盈亏比的平衡与取舍,19782,5y ago,https://www.youtube.com/watch?v=JNJP7y2yyeg
66,期貨外匯交易指南|該不該辭職，做一名全職交易者,19455,6y ago,https://www.youtube.com/watch?v=_nTuRFKJ1KI
67,一个视频帮你找到自己的交易优势，尽快摆脱新手状态,19416,10mo ago,https://www.youtube.com/watch?v=Y8s-_IXJm24
68,多年珍藏的投資書籍：6本書搞清市場底層原理,19324,6y ago,https://www.youtube.com/watch?v=zg1nf4DOAc8
69,外匯交易指南|交易世界中，賺錢不難，難的是長期持續賺錢,19316,6y ago,https://www.youtube.com/watch?v=Xq9R4rMxslk
70,13年职业交易员｜裸K技术教程：多空趋势转换识别｜市场结构与多空分歧,18922,2y ago,https://www.youtube.com/watch?v=fVUauyyNW5U
71,Price Action｜价格行为交易：Pin-Bar 背后的原理,18706,5y ago,https://www.youtube.com/watch?v=KblTat5uC9E
72,如何成为那20%的获利群体｜站在市场大众的反面｜经典量价关系,18557,9mo ago,https://www.youtube.com/watch?v=7mhxdMZ-AJA
73,交易教程｜技术分析基础：蜡烛图的基本构成原理,18424,6y ago,https://www.youtube.com/watch?v=kccKqAQnX0c
74,13年职业交易员：3种最值得交易的形态和时机,18271,2y ago,https://www.youtube.com/watch?v=X_M2syZXGOA
75,解渴长视频：交易盈利因素大盘点｜9个因素，找到交易盈利的抓手,18257,2y ago,https://www.youtube.com/watch?v=DY_Al4YjVEo
76,资金管理入门：固定仓位交易和固定金额交易,18257,5y ago,https://www.youtube.com/watch?v=w-hD3VYIAMo
77,外匯交易指南|如何理解金融交易中的「盈虧同源」問題？,18236,6y ago,https://www.youtube.com/watch?v=_mGxGQ6q88I
78,10年交易經驗總結：行情走勢的斜率變化，蘊含著大量信息,17912,6y ago,https://www.youtube.com/watch?v=dHu9uPZbdks
79,11年职业交易员：交易需要天赋么？｜附带一份交易准备工作清单,17846,5y ago,https://www.youtube.com/watch?v=mG75T1cKw_s
80,11年职业交易员：执行交易系统的终极瓶颈｜面对连续止损，该如何处理？,17763,5y ago,https://www.youtube.com/watch?v=mDtyfDcMXbA
81,现场测试：看准了行情，能不能重仓？｜交易概率实验,17657,1y ago,https://www.youtube.com/watch?v=VvmXrRn6Jws
82,交易细节｜90%交易者忽略的2个开仓要点,17626,5y ago,https://www.youtube.com/watch?v=q8BdIYJ9Tus
83,交易生存法则：怎样扩大交易的赢面？,17583,1y ago,https://www.youtube.com/watch?v=Ny7F5Cs3MmY
84,打破盈利比例魔咒：如何成为20%的盈利者,17572,1y ago,https://www.youtube.com/watch?v=8gUNKxC222s
85,13年跨市场交易员｜如何止盈？分享3种超实用的止盈技巧,17516,3y ago,https://www.youtube.com/watch?v=w4yxYuVNUEc
86,“交易系统建构者”系列教程｜两种开仓手法：抄底还是追高，怎么选？｜一种完美结合的方式,17463,2y ago,https://www.youtube.com/watch?v=7Ag1_f7to50
87,13年职业交易员：裸K交易教程｜常规K线&特征K线｜Bar By Bar分析的合理性｜Price Action Understanding Bias,17329,2y ago,https://www.youtube.com/watch?v=25uAbg7HB7k
88,90%交易者都在做的“多余交易动作”，去掉这些，你可能就盈利了,17285,1y ago,https://www.youtube.com/watch?v=rXToCdfQuao
89,交易利潤最大化｜推薦一種優化交易體系的科學方法,17261,5y ago,https://www.youtube.com/watch?v=6DtE4OAIUmI
90,决定交易者长期盈利的关键要素｜实盘交易｜真实交易经历｜美元降息红利,17247,1y ago,https://www.youtube.com/watch?v=-hVbvGbdSRI
91,13年跨市场交易员｜交易高手注定孤独？,17243,3y ago,https://www.youtube.com/watch?v=MnYEGruX3-4
92,首次公开分享｜13年前的真实交易经历：理解技术分析的真正意义,17156,2y ago,https://www.youtube.com/watch?v=EWYIonTgLhE
93,期貨外匯交易指南|搞清一件事，快速判別市場方向,17092,6y ago,https://www.youtube.com/watch?v=XEZx_ol9UKA
94,价格图表本质：看K线，到底在看什么？,17074,1y ago,https://www.youtube.com/watch?v=DheIIJK51hM
95,交易特刊：交易可否养家？｜交易盈利属性｜资金体量门槛｜朴实的交易现状,16971,2y ago,https://www.youtube.com/watch?v=vY4xk7ShaTY
96,靠譜的交易盈利原則：依靠交易系統持續獲利,16897,5y ago,https://www.youtube.com/watch?v=Homohz2GPa4
97,比交易技术重要10000倍｜带你做一次“交易系统验证”过程｜蒙特卡洛模拟,16794,1mo ago,https://www.youtube.com/watch?v=9_uAn0SBr40
98,10年交易經驗分享：大眾為何做不好交易？,16558,5y ago,https://www.youtube.com/watch?v=l2uLLEmISl0
99,15年经验分享：朴素且有效的交易盈利方法｜市场盈利原理,16470,6mo ago,https://www.youtube.com/watch?v=U0Y0Fml2sOo
100,交易是一种概率游戏,16444,3y ago,https://www.youtube.com/watch?v=Zn0GZ6cj1S4
101,交易是一场“钱生钱”的游戏· 善于运用自己的“筹码”,16441,5y ago,https://www.youtube.com/watch?v=hEm6MoAQRto
102,交易心理优势，拒绝心态内耗｜成熟的交易心态｜10个重要的交易优势系列,16390,2y ago,https://www.youtube.com/watch?v=OxefksC9CCI
103,10年交易經驗· 技術分析方法太多，怎麼學？不妨先看看這期視頻,16390,5y ago,https://www.youtube.com/watch?v=YpTBYxyMgzI
104,交易心态养成：认知行为疗法,16377,4y ago,https://www.youtube.com/watch?v=ILE35v-6Crg
105,路肖南频道｜交易心态剖析，原来90%的交易心态问题源于它｜Video Podcast,16349,3y ago,https://www.youtube.com/watch?v=6gxen_YPLVk
106,长篇硬核交易内容：一个被99%的人忽略的交易决策因素,16313,11mo ago,https://www.youtube.com/watch?v=WevIDusyQR8
107,14年交易经验：2024年，我的交易体悟,16292,1y ago,https://www.youtube.com/watch?v=fijTr1qxp38
108,15年经验分享：交易做到最后应该领悟什么？｜交易终极顿悟,16200,8mo ago,https://www.youtube.com/watch?v=ndmKpXAozRI
109,做交易，先让自己赚到钱｜谈赚钱的方法与赚钱的结果,16112,3y ago,https://www.youtube.com/watch?v=wP1fKQM7gqM
110,一顿操作猛如虎，账户只剩两块五；聊聊频繁交易,15979,5y ago,https://www.youtube.com/watch?v=LscA11_LE5Q
111,价格行为交易的基本形态：孕线的本质｜Price Action｜Fundamental Patterns,15971,5y ago,https://www.youtube.com/watch?v=9TmUnVyGdFU
112,路肖南频道｜成熟交易者的门槛：保持耐心,15969,3y ago,https://www.youtube.com/watch?v=bfWTn7UyBwU
113,网格交易靠谱么？｜收益与风险分析｜Grid Trading,15864,4y ago,https://www.youtube.com/watch?v=xKZM8L-pvQY
114,90%交易者一直在自我欺骗,15635,10mo ago,https://www.youtube.com/watch?v=u46LeBTrcnc
115,价格行为｜形态是人性的集合,15487,4y ago,https://www.youtube.com/watch?v=Scrj4MQ_MDA
116,人们为何会在市场中亏损？｜3条关键总结和交易经验,15354,2y ago,https://www.youtube.com/watch?v=pu_dYCbwEUY
117,交易中的“盈亏比思维”｜聊聊风险报酬比,15114,3y ago,https://www.youtube.com/watch?v=fWffteR1NJs
118,投资交易中，做复盘测试的真正作用,15098,4y ago,https://www.youtube.com/watch?v=NRYcuWBBJdI
119,11年职业交易员：如何玩转交易软件终端，提高交易效率？（覆盖全球各主要市场）,15065,5y ago,https://www.youtube.com/watch?v=L9yUANurYFA
120,专业交易思维：理解概率优势,14964,3y ago,https://www.youtube.com/watch?v=LtxB2kDhMgU
121,被外匯平台坑去15萬，鑽研6年，教你如何甄別外匯交易平台是否正規？,14788,6y ago,https://www.youtube.com/watch?v=soNaIs-NUxo
122,Outside-Bar（波動線）· 價格行為交易的基本形態,14755,5y ago,https://www.youtube.com/watch?v=cvAgq4gOcCU
123,执着于小资金翻倍？｜谈财富效用高低,14659,3y ago,https://www.youtube.com/watch?v=ypUcCuS6AeU
124,交易教程｜技术分析基础：特殊蜡烛图形态（上）,14213,6y ago,https://www.youtube.com/watch?v=KEq9ns74HYE
125,读懂K线图表的方法｜图表阅读术,13984,3y ago,https://www.youtube.com/watch?v=5Rt8aCSqdcQ
126,K线有效么？聊一个K线的错误用法,13973,3y ago,https://www.youtube.com/watch?v=Wmq-_7KEin0
127,多周期分析总出现矛盾，该如何解决？｜谈3个方面：谈谈价格传递规律、转向速度和决策周期,13866,3y ago,https://www.youtube.com/watch?v=4XLP4QUai5A
128,外汇交易复盘｜如何能够拿得住“单” （英镑兑美元两周持仓心得）,13825,5y ago,https://www.youtube.com/watch?v=l-ckw1VHybA
129,回顾2023，我的交易体悟（结尾附：交易之外感悟）｜如何面对交易中所犯的错误,13786,2y ago,https://www.youtube.com/watch?v=6NpVfcF8Aes
130,16年交易哲学思考：悟透这5条“交易秩序”，瞬间超越90%的交易者,13775,2mo ago,https://www.youtube.com/watch?v=yzBdrqKtCfA
131,全职交易｜交易之路的选择,13772,3y ago,https://www.youtube.com/watch?v=CJEXEzX6LNQ
132,交易认知系列｜3条至关重要，不可忽视的交易理念｜概率、内化、保持耐心,13769,2y ago,https://www.youtube.com/watch?v=L7_QmAjxEcw
133,量价关系｜成交量与市场顶底｜趋势的持续性,13693,3y ago,https://www.youtube.com/watch?v=cVoNH2sYdqQ
134,交易认知系列｜如何避免不可挽回的交易损失｜关于交易风险的顶级认知,13640,2y ago,https://www.youtube.com/watch?v=bVdH8X9uWgE
135,30万u盈利化为乌有｜一则交易故事谈：反人性的交易禁忌,13511,5mo ago,https://www.youtube.com/watch?v=MKUOa5gX-BI
136,資金管理的一致性· 90%交易者忽略的細節,13484,5y ago,https://www.youtube.com/watch?v=XqwoRYkgO0c
137,交易中的先后次序，反过来则会出大问题,13450,1y ago,https://www.youtube.com/watch?v=Y1OEoA-lkQo
138,市场拐点：识别市场变盘点,13446,3y ago,https://www.youtube.com/watch?v=-QoyaFhaufs
139,关于止盈出场的设定｜“会平仓”的标准是什么？,13400,4y ago,https://www.youtube.com/watch?v=B8sU1h2yEhQ
140,多周期分析原理：交易决策周期选择,13356,4y ago,https://www.youtube.com/watch?v=g3NTbFihLtc
141,做了16年交易，我早期痴迷于....｜信息差、执行差和认知差，哪个才能长期盈利,13295,1mo ago,https://www.youtube.com/watch?v=QGP826BeNeY
142,技术分析经典指标系列：深入理解【均线】｜切勿过度解读均线的作用,13222,5y ago,https://www.youtube.com/watch?v=twrUFCfYA4I
143,交易系统建立｜谈谈交易决策的底层逻辑,13181,4y ago,https://www.youtube.com/watch?v=0L9rrVHRnjo
144,价格行为第一课｜分享两个K线学习要点，之前所有教程都没有提及,13130,1y ago,https://www.youtube.com/watch?v=Af8h8j73N9k
145,市场顶底规律｜量、波幅与斜率,13084,3y ago,https://www.youtube.com/watch?v=I6ZSL0U6pTQ
146,技术分析到底在分析什么？｜如何学好技术分析？｜如何运用技术分析获利？,13063,1y ago,https://www.youtube.com/watch?v=QMi4JUF-QZE
147,13年职业交易员：交易心理教程｜人性恐惧的背后｜交易中的彷徨纠结怎么解决？｜MTTP2,12974,2y ago,https://www.youtube.com/watch?v=I4y1_wNrluY
148,交易纠结不顺利？80%原因来自于…,12916,1y ago,https://www.youtube.com/watch?v=cpEULspkl8s
149,散户行为特征｜看看你是否有同样的习惯隐患,12872,3y ago,https://www.youtube.com/watch?v=yCOkO-K2aQQ
150,投资类书籍推荐：10年经验精选3本书，同样适合投资新手阅读,12852,5y ago,https://www.youtube.com/watch?v=TI--qkl3WCo
151,14年交易经验，分享3条重要感悟；聊我最近的交易｜市场会衰退么？,12809,1y ago,https://www.youtube.com/watch?v=AQmXBZ8eUZ0
152,交易者如何走出低谷？,12766,1y ago,https://www.youtube.com/watch?v=lBVBA8pubD0
153,认识概率· 交易系统胜率测试· 科学评估资金回撤率,12748,5y ago,https://www.youtube.com/watch?v=UxszkfXSUNs
154,专业交易者：从看对到做对,12659,1y ago,https://www.youtube.com/watch?v=qpdSjX-M_vw
155,交易过程演绎· 分析-计划-交易-记录,12639,5y ago,https://www.youtube.com/watch?v=S3nmE3vz_kg
156,交易遵从二八法则，如何成为那20%｜站在大众交易行为的对面,12630,2y ago,https://www.youtube.com/watch?v=RVLH6dQTc8o
157,11年交易经验分享：极简交易理念，合理么？聊一个重要的误区,12620,5y ago,https://www.youtube.com/watch?v=DEj4dG6DaU8
158,期貨外匯交易指南|交易者應該具備的「概率思維」,12573,6y ago,https://www.youtube.com/watch?v=4qpmHlTIPG4
159,每一位交易者都需要练就自己的“交易绝招”,12522,1y ago,https://www.youtube.com/watch?v=rK0s1iYd-Z4
160,裸K技术教程：从墓碑线入手，认识K线内部结构，提供一种高级使用技巧,12481,2y ago,https://www.youtube.com/watch?v=kEkSi1uwFwk
161,80%交易者可能用错技术分析｜正确应用，交易效果倍增,12353,1y ago,https://www.youtube.com/watch?v=PxLEleqHlwA
162,如何检验自己的交易系统？可参考这4条,12347,3y ago,https://www.youtube.com/watch?v=PlqRYGlQCf8
163,交易的难度等级｜交易最高等级是什么？,12339,2y ago,https://www.youtube.com/watch?v=bM9Me38K9Ts
164,12年职业交易员：关键K线和关键波动,12309,3y ago,https://www.youtube.com/watch?v=KoMbVQuh6fY
165,每一位交易者都需要：重新定义交易中的错误｜交易成长必经之路,12234,1y ago,https://www.youtube.com/watch?v=phfBPGoFOng
166,不要浪费任何一场危机｜关税引发市场恐慌，专业交易者应该怎么做？,12191,11mo ago,https://www.youtube.com/watch?v=U_8VQN-5aJg
167,专业交易员需要几个屏幕？｜多屏幕对交易有帮助么？,12105,4y ago,https://www.youtube.com/watch?v=P_AxDBOLt8w
168,为何你总被市场收割？交易中真正的反人性｜用体感对抗数学规律,12018,2w ago,https://www.youtube.com/watch?v=HJooFqpqlNQ
169,13年跨市场交易员｜持仓中，最重要的事！,11989,3y ago,https://www.youtube.com/watch?v=13moVgxKta0
170,预测和策略｜谈谈散户与专业交易者的不同视角,11924,3y ago,https://www.youtube.com/watch?v=3813cXwrBbs
171,交易复盘｜中线波段交易如何获利？｜推荐一种交易总结的方式,11835,5y ago,https://www.youtube.com/watch?v=wcUobSphRVE
172,为何总是乱做单，控制不住自己？｜视频最后有一份交易行动清单,11772,6mo ago,https://www.youtube.com/watch?v=3yVcWxKk_Fk
173,交易持仓中最关键的选择,11694,10mo ago,https://www.youtube.com/watch?v=mxAfAlC6dJg
174,90%交易者使用趨勢線的誤區｜趨勢線畫法｜如何尋找有參考性的趨勢線,11663,5y ago,https://www.youtube.com/watch?v=dcualBEIDWs
175,什么是好趋势？｜优质趋势的三个要素｜趋势交易｜筹码运作规律｜放量与温和｜成交量分布,11641,2y ago,https://www.youtube.com/watch?v=tKT37r6gbvM
176,谈2个核心理解：价格形态和市场庄家,11622,4y ago,https://www.youtube.com/watch?v=1EI8sy3wvZ0
177,15年交易经验：我的交易作息时间｜交易流程细节｜背后的逻辑,11507,4mo ago,https://www.youtube.com/watch?v=4RYUlL6uFgo
178,15年交易经验：我的投资交易逻辑01,11494,7mo ago,https://www.youtube.com/watch?v=I45NChCk0Mw
179,13年职业交易员：市场中的“关键位置”,11452,2y ago,https://www.youtube.com/watch?v=WuHq1auafnQ
180,交易整体规划1｜如何让交易做得长久且稳定？,11450,3y ago,https://www.youtube.com/watch?v=lWdTdGFOUV4
181,想长期盈利，该选择怎样的交易机会，提供两条标准,11427,1y ago,https://www.youtube.com/watch?v=E21GkspVbew
182,怎样才算一位有经验的交易者？,11302,3y ago,https://www.youtube.com/watch?v=iiDRX4lzCw4
183,这是一次交易成长的跨越：从赌徒直觉到数学优势｜盈利期望｜交易系统验证｜交易阶段,11279,3w ago,https://www.youtube.com/watch?v=7wGPJrgDKCw
184,交易系统认知：百万人爆仓！你的交易经得起“压力测试”么？,11266,5mo ago,https://www.youtube.com/watch?v=g_GVwEnIdbo
185,16年交易经验：让你具备优势的“开仓时机”是怎样的？｜如何找到自己的开仓方式,11241,1mo ago,https://www.youtube.com/watch?v=rgs-tjjAfR8
186,可複製的交易方法｜4倍盈虧比的中線交易復盤｜美瑞空頭,11225,4y ago,https://www.youtube.com/watch?v=CluW6-EVX5w
187,如果教我的孩子做交易，我会教她什么？｜对交易最有奠基作用的5个方面,11069,1y ago,https://www.youtube.com/watch?v=ZDwMjPZVPMA
188,15年交易经验分享：谈交易中“悟”与“知”,10986,11mo ago,https://www.youtube.com/watch?v=4gG9QZgOZJY
189,切勿扮演交易大师，分享我厌恶和敬佩的人｜交易世界只有两个群体,10953,3mo ago,https://www.youtube.com/watch?v=IXCm16dQQ3E
190,"价格行为交易-获利$75,000的交易全过程（后半段有深度内容）",10872,1y ago,https://www.youtube.com/watch?v=egxVExigj14
191,LUNA狂跌，谈谈大众的抄底行为和相应思考,10807,3y ago,https://www.youtube.com/watch?v=neBupAe_BkI
192,量价关系：理解第一种量价规律,10795,3y ago,https://www.youtube.com/watch?v=x_vQb6wYZMY
193,外匯交易指南｜從進入交易開始，多久可以穩定盈利？,10652,6y ago,https://www.youtube.com/watch?v=ATHA4CL-pic
194,硬核交易内容02｜如何像专业交易者一样思考？｜一则投资名言却误导了90%的交易者,10598,1y ago,https://www.youtube.com/watch?v=9vxaTfLRpm0
195,量价关系｜波幅与成交量,10588,3y ago,https://www.youtube.com/watch?v=In1W6VkfZUo
196,交易系统能获利么？如何判断交易系统是否有效？,10442,3y ago,https://www.youtube.com/watch?v=jHeo6KswceA
197,15年职业交易员：交易人生中的重要选择｜献给处于迷茫的交易者,10308,4mo ago,https://www.youtube.com/watch?v=029rcyWeYpE
198,交易技术｜聊聊反转形态的理解误区,10155,4y ago,https://www.youtube.com/watch?v=kLnP7G5PwfQ
199,摆脱“散户宿命”｜专业交易｜统计思维｜交易频率｜连续止损,10120,2y ago,https://www.youtube.com/watch?v=6nRF3tR3oBA
200,交易教程｜技术分析基础：特殊蜡烛图形态（下）,10093,6y ago,https://www.youtube.com/watch?v=R1pGZjQvhwU
201,黃金外匯交易指南|別只盯著賬戶收益率，分享我常用的3個指標，更直觀地評判交易能力,10047,6y ago,https://www.youtube.com/watch?v=wUPheaFOml8
202,趋势线的本质｜原理与画法｜摆脱随意画线,9999,3y ago,https://www.youtube.com/watch?v=rE5LeoW9UEs
203,動態交易訓練·如何運用一套交易系統，面對複雜的市場變化,9918,5y ago,https://www.youtube.com/watch?v=laFkVPPT8n4
204,10年職業交易員：只看價格就夠了，市場價格包含一切,9895,5y ago,https://www.youtube.com/watch?v=lu-OXUvbvdQ
205,交易答疑系列：全职交易，如何走得稳？,9864,2y ago,https://www.youtube.com/watch?v=9wfmQQBLAlY
206,牛市还在么？怎么参与更靠谱？我是如何参与的？有什么启示？,9816,1y ago,https://www.youtube.com/watch?v=IZxcParo2Q8
207,少有人提及的“交易雷区”｜交易避雷指南｜牛熊市场｜趋势与震荡｜系统外条件｜交易获利与All In,9740,1y ago,https://www.youtube.com/watch?v=7DW7cqvjJq8
208,11年跨市场交易员：交易要做减法｜减法思维｜做减法的4个步骤,9703,4y ago,https://www.youtube.com/watch?v=EqQBT3HOZUI
209,为何知道越多，交易越混乱？如何变成：越学越顺？不妨先看看这期视频,9643,1mo ago,https://www.youtube.com/watch?v=4A--TaY5yac
210,什么是交易计划？做计划不是预测未来,9620,4y ago,https://www.youtube.com/watch?v=mj142mmdkME
211,外汇｜期货｜美股交易中，常用的3种订单类型：市价单Market Order、现价单Limit Order、止损单Stop Order,9606,5y ago,https://www.youtube.com/watch?v=voSb7s4huWQ
212,15年硬核分享：为何90%交易者总是混乱迷茫？结合实战交易，搞清楚一个核心！,9595,9mo ago,https://www.youtube.com/watch?v=QGgMFgB8nK0
213,要么大赚，要么爆亏｜聊聊“一波流”的交易方式,9566,4y ago,https://www.youtube.com/watch?v=GLyVf4u3zOE
